year,title,price,mileage,dealer,location,distance (mi),url,has_moonroof
2024,2024 Subaru Impreza RS,28215.0,,North End Subaru,"Lunenburg, MA",35,https://www.cars.com/vehicledetail/98c619e2-ba93-449b-bea3-a9aaeba5b5c2/,False
2024,2024 Subaru Impreza RS,29179.0,,Clay Subaru,"Norwood, MA",16,https://www.cars.com/vehicledetail/eb9f88af-6968-4802-99f5-de0553fae76e/,True
2024,2024 Subaru Impreza RS,29208.0,,Ira Subaru of Danvers,"Danvers, MA",14,https://www.cars.com/vehicledetail/4444d288-e978-4053-ad41-cff53cdae2c9/,True
2024,2024 Subaru Impreza RS,29485.0,,Anchor Auto Group - Subaru Nissan,"North Smithfield, RI",36,https://www.cars.com/vehicledetail/604a5840-d74a-4d73-ae8b-95e69af111f5/,True
2024,2024 Subaru Impreza RS,29485.0,,Anchor Auto Group - Subaru Nissan,"North Smithfield, RI",36,https://www.cars.com/vehicledetail/a368aee7-72dd-44e5-98c7-7601d4168ab1/,True
2024,2024 Subaru Impreza RS,29633.0,,Clay Subaru,"Norwood, MA",16,https://www.cars.com/vehicledetail/24a9d0f3-5030-4d87-8aaf-71f2e5314bd9/,True
2025,2025 Subaru Impreza RS,30188.0,,Suburban Subaru,"Vernon, CT",82,https://www.cars.com/vehicledetail/d39dd79d-08c0-4f99-91df-3a657e8b27a0/,False
2025,2025 Subaru Impreza RS,30436.0,,Ira Subaru of Danvers,"Danvers, MA",14,https://www.cars.com/vehicledetail/34442f23-dbc3-4294-ae65-7e630b332e12/,True
2025,2025 Subaru Impreza RS,30436.0,,Ira Subaru of Danvers,"Danvers, MA",14,https://www.cars.com/vehicledetail/56c565d0-943f-461b-910b-4853518d00fb/,True
2024,2024 Subaru Impreza RS,31137.0,,Secor Subaru,"New London, CT",89,https://www.cars.com/vehicledetail/126edc23-9daf-47d2-afaa-a4d7e7f61592/,True
2025,2025 Subaru Impreza RS,31599.0,,Long Subaru,"Webster, MA",45,https://www.cars.com/vehicledetail/ef6bbf3f-1456-4eb1-b415-8afd01fa8ab7/,True
2024,2024 Subaru Impreza RS,31609.0,,Suburban Subaru,"Vernon, CT",82,https://www.cars.com/vehicledetail/a81e7ffa-6fa6-4066-ab29-6b67eb2bf60c/,True
2024,2024 Subaru Impreza RS,31796.0,,Suburban Subaru,"Vernon, CT",82,https://www.cars.com/vehicledetail/aca530a3-71b4-427e-99d9-a9f5c3874112/,True
2024,2024 Subaru Impreza RS,31856.0,,Valenti Subaru,"Westerly, RI",80,https://www.cars.com/vehicledetail/f7583ad1-7568-4ab9-9694-34208a5a19cd/,False
2025,2025 Subaru Impreza RS,32258.0,,Suburban Subaru,"Vernon, CT",82,https://www.cars.com/vehicledetail/23d590e1-c33f-4c08-9cd2-fe4cf160040c/,True
2025,2025 Subaru Impreza RS,32445.0,,Suburban Subaru,"Vernon, CT",82,https://www.cars.com/vehicledetail/ae11e210-06a9-4768-a394-b22a22c841c5/,True
2025,2025 Subaru Impreza RS,32534.0,,MetroWest Subaru,"Natick, MA",15,https://www.cars.com/vehicledetail/fbc09cfe-a74b-4357-96a9-1c63f2772f73/,True
2025,2025 Subaru Impreza RS,32587.0,,Valenti Subaru,"Westerly, RI",80,https://www.cars.com/vehicledetail/f240ea81-ee8f-45db-bcf8-b71b806f6f05/,True
2024,2024 Subaru Impreza RS,27698.0,,Albrecht Subaru of Wakefield,"Wakefield, MA",9,https://www.cars.com/vehicledetail/f2cbe23d-84da-4278-b8b7-d3d986c1258f/,False
